Cities,BestCost,Time_s
5,194,7e-6
6,168,6e-6
7,133,1e-5
8,165,9.6e-5
9,197,0.000716
10,130,0.006629
11,163,0.071017
12,134,0.818497
13,126,10.1881
14,172,139.064
15,135,2014.97
