Cities,BestCost,Time_s
5,194,0.000222
6,168,0.000225
7,133,0.000263
8,165,0.00062
9,197,0.003788
10,130,0.033335
11,163,0.332248
12,134,3.94715
13,126,45.5376
14,172,621.083
