Cities,BestCost,Time_s
5,194,0.000308
6,168,0.000249
7,133,0.000397
8,165,0.000355
9,197,0.000603
10,130,0.001678
11,163,0.008798
12,134,0.080187
13,126,0.902737
14,172,11.3137
15,135,151.328
